,response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood,subject_injury_nan
64,2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,1.0,Bodily Force,Body Weight to Pin,White,Male,38.0,Tensed,2,Marcy Holmes,0
65,2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,1.0,Bodily Force,Punches,White,Male,38.0,Tensed,2,Marcy Holmes,0
66,2016/01/07 00:02:08,Assault in Progress ,Yes,CIC,1.0,Bodily Force,Joint Lock,White,Male,38.0,Tensed,2,Marcy Holmes,0
67,2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Joint Lock,Black,Male,19.0,Tensed,3,Ventura Village,1
68,2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Body Weight to Pin,Black,Male,19.0,Tensed,3,Ventura Village,1
69,2016/01/07 04:31:12,Unknown Wireless/Cell Phone,Yes,FC,,Bodily Force,Body Weight to Pin,Black,Male,19.0,Tensed,3,Ventura Village,1
70,2016/01/07 21:22:30,Damage Property-In Progress,Yes,BURGTL,,Bodily Force,Body Weight to Pin,Black,Male,23.0,Fled on Foot,3,East Phillips,1
71,2016/01/07 21:22:30,Damage Property-In Progress,Yes,BURGTL,,Gun Point Display,Compliance,Black,Male,23.0,Fled on Foot,3,East Phillips,1
72,2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,1.0,Bodily Force,Punches,Native American,Male,28.0,Assaulted Officer,4,Folwell,0
73,2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,1.0,Taser,Touch,Native American,Male,28.0,Assaulted Officer,4,Folwell,0
74,2016/01/08 09:26:08,Emotionally Disturb Person ,Yes,ASLT4,1.0,Taser,Firing Darts,Native American,Male,28.0,Assaulted Officer,4,Folwell,0
75,2016/01/08 18:50:50,Poss Personal Injury Acc ,Yes,DAMPRP,,Bodily Force,Body Weight to Pin,Black,Male,26.0,Commission of Crime,5,Kenwood,1
76,2016/01/09 00:39:00,Person with a Gun ,Yes,DAMMV,,Chemical Irritant,Crowd Control Mace,Black,Male,24.0,Commission of Crime,1,Cedar Riverside,1
77,2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,1.0,Improvised Weapon,Flashlight,Black,Male,30.0,Commission of Crime,3,Ericsson,0
78,2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,1.0,Bodily Force,Punches,Black,Male,30.0,Commission of Crime,3,Ericsson,0
79,2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,1.0,Bodily Force,Body Weight to Pin,Black,Male,30.0,Commission of Crime,3,Ericsson,0
80,2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,1.0,Bodily Force,Knees,Black,Male,30.0,Commission of Crime,3,Ericsson,0
81,2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,1.0,Bodily Force,Joint Lock,Black,Male,30.0,Commission of Crime,3,Ericsson,0
82,2016/01/09 01:57:47,Unknown Trouble ,Yes,DASLT5,1.0,Bodily Force,Punches,Black,Male,30.0,Commission of Crime,3,Ericsson,0
83,2016/01/09 21:46:21,Disturbance ,No,OBSTRU,1.0,Bodily Force,Knees,Black,Male,15.0,Assaulted Officer,4,Willard - Hay,0
84,2016/01/09 21:46:21,Disturbance ,No,OBSTRU,1.0,Bodily Force,Punches,Black,Male,15.0,Assaulted Officer,4,Willard - Hay,0
85,2016/01/09 22:45:54,Officer Needs Help ,No,DISCON,,Bodily Force,Push Away,Black,Male,24.0,Verbal Non-Compliance,4,Cleveland,1
86,2016/01/09 22:45:54,Officer Needs Help ,No,DISCON,,Bodily Force,Body Weight to Pin,Black,Male,24.0,Verbal Non-Compliance,4,Cleveland,1
87,2016/01/10 01:33:38,Suspicious Person ,No,DISCON,0.0,Bodily Force,Knees,White,Male,39.0,Tensed,1,Downtown West,0
88,2016/01/10 01:33:38,Suspicious Person ,No,DISCON,0.0,Bodily Force,Joint Lock,White,Male,39.0,Tensed,1,Downtown West,0
89,2016/01/10 01:33:38,Suspicious Person ,No,DISCON,0.0,Bodily Force,Body Weight to Pin,White,Male,39.0,Tensed,1,Downtown West,0
90,2016/01/10 01:33:38,Suspicious Person ,No,DISCON,0.0,Bodily Force,Push Away,White,Male,39.0,Tensed,1,Downtown West,0
91,2016/01/10 02:25:13,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,,,0.0,Unspecified,0,,1
92,2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,1.0,Taser,Firing Darts,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road,0
93,2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,1.0,Taser,Red Dot,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road,0
94,2016/01/10 04:02:02,Check the Welfare ,Yes,CIC,1.0,Taser,Display,Black,Male,20.0,Verbal Non-Compliance,2,Prospect Park - East River Road,0
95,2016/01/11 19:02:01,Theft - Report Only ,No,SHOPLF,,Bodily Force,Joint Lock,Native American,Female,35.0,Tensed,1,Downtown West,1
96,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
97,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Joint Lock,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
98,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Improvised Weapon,Flashlight,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
99,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
100,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Gun Point Display,Compliance,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
101,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Body Weight to Pin,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
102,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Punches,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
103,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Punches,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
104,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Joint Lock,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
105,2016/01/11 23:39:46,Robbery of Biz In Progress ,Yes,ROBPAG,1.0,Bodily Force,Push Away,Black,Male,36.0,Verbal Non-Compliance,2,Como,0
106,2016/01/12 03:50:29,Fight ,Yes,OBSTRU,0.0,Bodily Force,Body Weight to Pin,Black,Male,31.0,Commission of Crime,1,Downtown West,0
107,2016/01/12 09:55:26,Unwanted Person ,Yes,OBSTRU,0.0,Bodily Force,Body Weight to Pin,Black,Male,56.0,Tensed,1,Downtown West,0
108,2016/01/12 09:55:26,Unwanted Person ,Yes,OBSTRU,0.0,Bodily Force,Knees,Black,Male,56.0,Tensed,1,Downtown West,0
109,2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Body Weight to Pin,Black,Male,37.0,Tensed,4,Hawthorne,1
110,2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Body Weight to Pin,Black,Male,37.0,Tensed,4,Hawthorne,1
111,2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Joint Lock,Black,Male,37.0,Tensed,4,Hawthorne,1
112,2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Joint Lock,Black,Male,37.0,Tensed,4,Hawthorne,1
113,2016/01/14 01:59:36,Unwanted Person ,Yes,DAMPRP,0.0,Improvised Weapon,Other (specify),Black,Male,33.0,Tensed,5,Whittier,0
114,2016/01/14 01:59:36,Unwanted Person ,Yes,DAMPRP,0.0,Improvised Weapon,Other (specify),Black,Male,33.0,Tensed,5,Whittier,0
115,2016/01/14 02:07:05,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,18.0,Commission of Crime,1,Downtown West,1
116,2016/01/14 15:38:24,Suspicious Person ,No,NARC,0.0,Bodily Force,Body Weight to Pin,Black,Male,15.0,Tensed,4,Jordan,0
117,2016/01/14 20:29:23,Suspicious Person ,No,NARC,0.0,Bodily Force,Body Weight to Pin,Native American,Male,25.0,Tensed,3,East Phillips,0
118,2016/01/14 20:29:23,Suspicious Person ,No,NARC,0.0,Gun Point Display,Compliance,Native American,Male,25.0,Tensed,3,East Phillips,0
119,2016/01/15 00:53:51,Domestic ,Yes,DASLT5,1.0,Bodily Force,Punches,Black,Male,24.0,Commission of Crime,5,Whittier,0
120,2016/01/15 00:53:51,Domestic ,Yes,DASLT5,1.0,Bodily Force,Push Away,Black,Female,21.0,Tensed,5,Whittier,0
121,2016/01/15 00:53:51,Domestic ,Yes,DASLT5,1.0,Bodily Force,Body Weight to Pin,Black,Male,24.0,Commission of Crime,5,Whittier,0
122,2016/01/15 00:53:51,Domestic ,Yes,DASLT5,1.0,Bodily Force,Body Weight to Pin,Black,Female,21.0,Tensed,5,Whittier,0
123,2016/01/15 20:29:19,Suspicious Person ,No,NARC,,Bodily Force,Body Weight to Pin,,Male,26.0,Commission of Crime,2,St. Anthony East,1
124,2016/01/15 20:33:46,Suspicious Person ,No,FLEEFT,0.0,Taser,Firing Darts,Black,Female,36.0,Fled on Foot,1,Downtown West,0
125,2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Bodily Force,Knees,Black,Male,52.0,Assaulted Officer,3,Wenonah,0
126,2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Bodily Force,Body Weight to Pin,Black,Male,52.0,Assaulted Officer,3,Wenonah,0
127,2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,0.0,Bodily Force,Conscious Neck Restraint,Black,Male,52.0,Assaulted Officer,3,Wenonah,0
128,2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,0.0,Bodily Force,Body Weight to Pin,Black,Male,43.0,Tensed,2,Nicollet Island - East Bank,0
129,2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,0.0,Chemical Irritant,Personal Mace,Black,Female,21.0,Tensed,2,Nicollet Island - East Bank,0
130,2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,0.0,Chemical Irritant,Personal Mace,White,Female,46.0,Verbal Non-Compliance,2,Nicollet Island - East Bank,0
131,2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,0.0,Bodily Force,Push Away,Black,Male,43.0,Tensed,2,Nicollet Island - East Bank,0
132,2016/01/17 02:19:30,Disturbance ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,23.0,Commission of Crime,5,Lowry Hill East,1
133,2016/01/17 02:19:30,Disturbance ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,22.0,Commission of Crime,5,Lowry Hill East,1
134,2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay,1
135,2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay,1
136,2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay,1
137,2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14.0,Verbal Non-Compliance,4,Willard - Hay,1
138,2016/01/17 23:41:39,Fight ,No,NARC,0.0,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon,0
139,2016/01/17 23:41:39,Fight ,No,NARC,0.0,Chemical Irritant,Personal Mace,Black,Male,21.0,Tensed,4,Lind - Bohanon,0
140,2016/01/17 23:41:39,Fight ,No,NARC,0.0,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon,0
141,2016/01/17 23:41:39,Fight ,No,NARC,0.0,Bodily Force,Kicks,Black,Male,32.0,Fled on Foot,4,Lind - Bohanon,0
142,2016/01/19 20:39:28,Animal Bite ,No,BURGB,1.0,Bodily Force,Knees,,Male,19.0,Assaulting Police K9,3,Hiawatha,0
143,2016/01/19 20:39:28,Animal Bite ,No,BURGB,1.0,Police K9 Bite,On Lead,Native American,Male,18.0,Commission of Crime,3,Hiawatha,0
144,2016/01/19 20:39:28,Animal Bite ,No,BURGB,1.0,Bodily Force,Kicks,,Male,19.0,Assaulting Police K9,3,Hiawatha,0
145,2016/01/20 02:03:16,Suspicious Vehicle ,No,FLEE,1.0,Bodily Force,Body Weight to Pin,White,Male,28.0,Fled in Vehicle,5,East Isles,0
146,2016/01/20 02:03:16,Suspicious Vehicle ,No,FLEE,1.0,Bodily Force,Body Weight to Pin,White,Male,28.0,Fled in Vehicle,5,East Isles,0
147,2016/01/21 15:25:16,Unwanted Person ,Yes,DISCON,0.0,Bodily Force,Body Weight to Pin,White,Male,38.0,Tensed,2,Marcy Holmes,0
148,2016/01/21 15:25:16,Unwanted Person ,Yes,DISCON,0.0,Bodily Force,Joint Lock,White,Male,38.0,Tensed,2,Marcy Holmes,0
149,2016/01/22 20:32:00,Person with a Gun ,No,TLE,0.0,Bodily Force,Body Weight to Pin,Black,Male,22.0,Verbal Non-Compliance,4,Lind - Bohanon,0
150,2016/01/22 20:32:00,Person with a Gun ,No,TLE,0.0,Bodily Force,Body Weight to Pin,Black,Female,0.0,Tensed,4,Lind - Bohanon,0
151,2016/01/22 20:32:00,Person with a Gun ,No,TLE,0.0,Bodily Force,Push Away,Black,Male,22.0,Verbal Non-Compliance,4,Lind - Bohanon,0
152,2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,1.0,Bodily Force,Knees,Black,Male,22.0,Fled on Foot,4,Willard - Hay,0
153,2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,1.0,Bodily Force,Joint Lock,Black,Male,22.0,Fled on Foot,4,Willard - Hay,0
154,2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,1.0,Bodily Force,Body Weight to Pin,Black,Male,22.0,Fled on Foot,4,Willard - Hay,0
155,2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,1.0,Bodily Force,Punches,Black,Male,22.0,Fled on Foot,4,Willard - Hay,0
156,2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,1.0,Bodily Force,Body Weight to Pin,Black,Male,22.0,Fled on Foot,4,Willard - Hay,0
157,2016/01/23 01:07:42,Fight ,No,ASLT4,1.0,Bodily Force,Body Weight to Pin,White,Male,26.0,Assaulted Officer,1,North Loop,0
158,2016/01/23 01:07:42,Fight ,No,ASLT4,1.0,Bodily Force,Body Weight to Pin,White,Male,26.0,Assaulted Officer,1,North Loop,0
159,2016/01/23 01:07:42,Fight ,No,ASLT4,1.0,Bodily Force,Punches,White,Male,26.0,Assaulted Officer,1,North Loop,0
160,2016/01/23 02:57:04,Disturbance ,No,FORCE,0.0,Chemical Irritant,Personal Mace,Black,Female,20.0,Commission of Crime,1,Downtown West,0
161,2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,0.0,Gun Point Display,Compliance,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood,0
162,2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,0.0,Bodily Force,Body Weight to Pin,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood,0
163,2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,0.0,Bodily Force,Punches,Black,Male,32.0,Fled on Foot,4,Sumner - Glenwood,0
164,2016/01/23 23:26:04,Domestic Abuse-In Progress ,No,PRIORI,0.0,Bodily Force,Body Weight to Pin,White,Female,34.0,Tensed,4,Folwell,0
165,2016/01/23 23:26:04,Domestic Abuse-In Progress ,No,PRIORI,0.0,Bodily Force,Body Weight to Pin,White,Female,34.0,Tensed,4,Folwell,0
166,2016/01/24 01:36:42,Suspicious Person ,No,DISCON,1.0,Chemical Irritant,Personal Mace,Black,Male,21.0,Unspecified,5,Lowry Hill East,0
167,2016/01/24 02:41:27,Loud Party ,No,PARTY,0.0,Chemical Irritant,Personal Mace,Black,Male,22.0,Commission of Crime,2,Marcy Holmes,0
168,2016/01/24 02:41:27,Loud Party ,No,PARTY,0.0,Chemical Irritant,Personal Mace,Other / Mixed Race,Male,18.0,Commission of Crime,2,Marcy Holmes,0
169,2016/01/25 00:38:25,Sound of Shots Fired ,Yes,FLEE,1.0,Police K9 Bite,On Lead,Other / Mixed Race,Male,24.0,Unspecified,4,Willard - Hay,0
170,2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,1.0,Bodily Force,Kicks,Black,Male,16.0,Fled on Foot,4,Jordan,0
171,2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,1.0,Gun Point Display,Compliance,Black,Male,16.0,Fled on Foot,4,Jordan,0
